system:index,blue,cfmask,green,latitude,longitude,nbr,ndvi,nir,red,swir1,swir2,.geo,Y_Lat,X_Long,OBJECTID
1_2_LE71260522005139_0_3,1226,4,1548,11.59833286,104.9175363,0.19484559,0.23831452,2689,1654,2326,1812,NA,11.59833286,104.9175363,1
1_1_LT51260522005147_0_0,688,0,1042,11.64526631,104.9078894,0.5073912,0.60817415,3620,882,2150,1183,NA,11.64526631,104.9078894,5
1_1_LT51260522005147_0_1,1017,0,1351,11.51802754,104.9263632,0.5346134,0.5702956,4356,1192,2236,1321,NA,11.51802754,104.9263632,3
1_1_LT51260522005147_0_2,1077,4,1316,11.5031066,104.9310436,0.26408225,0.34748858,2951,1429,2596,1718,NA,11.5031066,104.9310436,4
1_1_LT51260522005147_0_3,1344,4,1571,11.59833286,104.9175363,0.1645857,0.19469027,2565,1729,2221,1840,NA,11.59833286,104.9175363,1
1_1_LT51260522005147_0_4,985,0,1347,11.54489019,104.9390123,0.26693228,0.35287166,2862,1369,2415,1656,NA,11.54489019,104.9390123,2
1_1_LT51260522005163_0_0,411,0,730,11.64526631,104.9078894,0.61727387,0.7451413,3951,577,2067,935,NA,11.64526631,104.9078894,5
1_1_LT51260522005163_0_1,693,0,1060,11.51802754,104.9263632,0.6338182,0.69291633,4493,815,2090,1007,NA,11.51802754,104.9263632,3
1_1_LT51260522005163_0_2,698,0,918,11.5031066,104.9310436,0.29701626,0.4973904,2869,963,2626,1555,NA,11.5031066,104.9310436,4
1_1_LT51260522005163_0_3,992,0,1351,11.59833286,104.9175363,0.20379877,0.22422343,2345,1486,1986,1551,NA,11.59833286,104.9175363,1
1_1_LT51260522005163_0_4,666,0,984,11.54489019,104.9390123,0.20759194,0.41703787,2545,1047,2413,1670,NA,11.54489019,104.9390123,2
1_1_LT51260522005195_0_0,1340,2,1516,11.51802754,104.9263632,0.6038566,0.45946977,3826,1417,1993,945,NA,11.51802754,104.9263632,3
1_1_LT51260522005195_0_1,696,0,840,11.5031066,104.9310436,0.5251256,0.60285187,3035,752,1968,945,NA,11.5031066,104.9310436,4
1_1_LT51260522005195_0_2,899,4,1073,11.64526631,104.9078894,0.49730313,0.57369614,3470,940,2187,1165,NA,11.64526631,104.9078894,5
1_1_LT51260522005195_0_3,953,4,1034,11.59833286,104.9175363,0.30377167,0.13790035,1279,969,893,683,NA,11.59833286,104.9175363,1
1_1_LT51260522005195_0_4,1057,4,1291,11.54489019,104.9390123,0.4121197,0.38872403,2808,1236,1968,1169,NA,11.54489019,104.9390123,2
1_2_LE71260522005235_0_0,2398,4,2598,11.64526631,104.9078894,0.3859649,0.04674273,2844,2590,1500,1260,NA,11.64526631,104.9078894,5
1_2_LE71260522005235_0_1,2462,4,2585,11.59833286,104.9175363,0.37141636,0.09797876,3205,2633,1741,1469,NA,11.59833286,104.9175363,1
1_2_LE71260522005235_0_2,2129,4,2296,11.54489019,104.9390123,0.42747897,0.07983031,2800,2386,1346,1123,NA,11.54489019,104.9390123,2
1_2_LE71260522005235_0_3,2008,4,2103,11.51802754,104.9263632,0.5474596,0.33073667,3929,1976,1628,1149,NA,11.51802754,104.9263632,3
1_2_LE71260522005235_0_4,2008,4,2081,11.5031066,104.9310436,0.43355483,0.14380385,2589,1938,1323,1023,NA,11.5031066,104.9310436,4
1_1_LT51260522005243_0_0,928,4,1188,11.51802754,104.9263632,0.59661835,0.57882166,3966,1058,1642,1002,NA,11.51802754,104.9263632,3
1_1_LT51260522005243_0_1,1226,4,1410,11.5031066,104.9310436,0.21994302,0.21509649,2141,1383,1569,1369,NA,11.5031066,104.9310436,4
1_1_LT51260522005243_0_2,1116,0,1446,11.59833286,104.9175363,0.17922705,0.22910373,2441,1531,1982,1699,NA,11.59833286,104.9175363,1
1_1_LT51260522005243_0_3,965,2,1483,11.54489019,104.9390123,0.6004566,0.08710261,2103,1766,764,525,NA,11.54489019,104.9390123,2
1_1_LT51260522005243_0_4,1632,4,1958,11.64526631,104.9078894,0.22829764,0.021326458,2179,2088,1569,1369,NA,11.64526631,104.9078894,5
1_1_LT51260522005275_0_0,433,1,467,11.51802754,104.9263632,0.8081633,0.14028314,443,334,133,47,NA,11.51802754,104.9263632,3
1_1_LT51260522005275_0_1,359,1,430,11.5031066,104.9310436,0.65784115,0.09851552,407,334,110,84,NA,11.5031066,104.9310436,4
1_1_LT51260522005275_0_2,1021,0,1340,11.59833286,104.9175363,0.22260006,0.28477186,2337,1301,1920,1486,NA,11.59833286,104.9175363,1
1_1_LT51260522005275_0_3,1075,4,1160,11.54489019,104.9390123,0.5583543,-0.06967419,928,1067,351,263,NA,11.54489019,104.9390123,2
1_1_LT51260522005275_0_4,1111,4,1556,11.64526631,104.9078894,0.60865384,0.04366812,1673,1533,666,407,NA,11.64526631,104.9078894,5
1_2_LE71260522005283_0_0,961,0,1089,11.59833286,104.9175363,0.47288775,0.26498196,1752,1018,1000,627,NA,11.59833286,104.9175363,1
1_2_LE71260522005283_0_1,902,1,1220,11.54489019,104.9390123,0.6629381,0.000897666,1115,1113,414,226,NA,11.54489019,104.9390123,2
1_2_LE71260522005283_0_2,934,0,1274,11.64526631,104.9078894,0.6790903,0.09202958,1329,1105,558,254,NA,11.64526631,104.9078894,5
1_2_LE71260522005283_0_3,826,4,815,11.51802754,104.9263632,0.46496814,0.030619865,690,649,298,252,NA,11.51802754,104.9263632,3
1_2_LE71260522005283_0_4,20000,4,20000,11.5031066,104.9310436,0.21659899,-0.5301048,6142,20000,4993,3955,NA,11.5031066,104.9310436,4
